316,385,742,488
305,388,744,485
323,389,727,477
275,387,774,463
250,380,790,468
225,379,802,471
236,376,780,461
223,377,785,483
250,381,751,482
240,385,756,488
241,393,754,491
230,401,767,492
244,401,760,487
249,394,765,468
270,378,751,479
303,356,724,495
318,332,712,503
322,307,703,517
318,281,699,535
309,257,701,558
328,242,677,571
341,232,668,583
342,229,670,591
313,229,698,604
327,235,670,604
336,249,672,591
325,264,686,554
290,276,723,507
315,289,699,452
308,304,701,395
307,320,701,413
310,330,697,437
318,342,692,461
340,354,675,476
365,353,660,466
381,340,659,471
397,316,662,484
417,309,661,490
435,303,662,493
457,301,661,486
470,303,669,489
489,332,670,475
501,359,680,451
506,357,700,456
538,361,697,453
563,363,699,454
590,365,693,454
643,367,662,455
700,366,640,432
748,364,605,435
801,361,578,420
836,352,567,420
885,345,538,413
916,332,522,428
937,320,515,441
969,312,502,444
997,305,495,455
1016,306,497,454
